Number,Title,State,Created At,Updated At,Closed At,Merged At,Author Login
5,"Bump word-wrap from 1.2.3 to 1.2.5",OPEN,"2024-01-16T18:01:31Z","2024-01-16T18:01:32Z",null,null,"dependabot"
6,"Bump @babel/traverse from 7.17.9 to 7.23.7",OPEN,"2024-01-16T18:01:33Z","2024-01-16T18:01:34Z",null,null,"dependabot"
7,"Bump semver from 6.3.0 to 6.3.1",OPEN,"2024-01-16T18:01:51Z","2024-01-16T18:01:52Z",null,null,"dependabot"
8,"Bump follow-redirects from 1.14.9 to 1.15.5",OPEN,"2024-01-16T18:02:11Z","2024-01-16T18:02:12Z",null,null,"dependabot"
9,"Bump @adobe/css-tools from 4.2.0 to 4.3.2",MERGED,"2024-01-16T18:02:13Z","2024-01-16T21:22:01Z",2024-01-16T21:21:59Z,2024-01-16T21:21:59Z,"dependabot"
10,"Create dependabot.yml",MERGED,"2024-01-16T18:02:16Z","2024-01-16T19:27:41Z",2024-01-16T18:02:37Z,2024-01-16T18:02:37Z,"gnmeyer"
16,"chore: Configure Renovate",MERGED,"2024-01-16T19:24:12Z","2024-01-16T19:25:54Z",2024-01-16T19:25:47Z,2024-01-16T19:25:47Z,"renovate"
17,"Update dependency node-fetch to v3.3.2",OPEN,"2024-01-16T19:26:15Z","2024-01-16T21:08:08Z",null,null,"renovate"
18,"Update dependency start-server-and-test to v2.0.3",OPEN,"2024-01-16T19:26:24Z","2024-01-16T21:08:09Z",null,null,"renovate"
20,"Update dependency @reduxjs/toolkit to v1.9.7",OPEN,"2024-01-16T19:31:50Z","2024-01-16T21:15:56Z",null,null,"renovate"
21,"Update dependency @cypress/code-coverage to v3.12.18",OPEN,"2024-01-16T19:32:02Z","2024-01-16T21:08:10Z",null,null,"renovate"
22,"Update dependency @testing-library/jest-dom to v5.17.0",OPEN,"2024-01-16T19:32:12Z","2024-01-16T21:22:31Z",null,null,"renovate"
23,"Update dependency @testing-library/react to v14.1.2",OPEN,"2024-01-16T19:32:22Z","2024-01-16T21:22:42Z",null,null,"renovate"
24,"Update dependency @testing-library/user-event to v14.5.2",OPEN,"2024-01-16T19:32:32Z","2024-01-16T21:08:14Z",null,null,"renovate"
